"Label (Grouping)","Allegan County, Michigan!!Estimate","Allegan County, Michigan!!Margin of Error","Allegan County, Michigan!!Percent","Allegan County, Michigan!!Percent Margin of Error","Bay County, Michigan!!Estimate","Bay County, Michigan!!Margin of Error","Bay County, Michigan!!Percent","Bay County, Michigan!!Percent Margin of Error","Berrien County, Michigan!!Estimate","Berrien County, Michigan!!Margin of Error","Berrien County, Michigan!!Percent","Berrien County, Michigan!!Percent Margin of Error","Calhoun County, Michigan!!Estimate","Calhoun County, Michigan!!Margin of Error","Calhoun County, Michigan!!Percent","Calhoun County, Michigan!!Percent Margin of Error","Clinton County, Michigan!!Estimate","Clinton County, Michigan!!Margin of Error","Clinton County, Michigan!!Percent","Clinton County, Michigan!!Percent Margin of Error","Eaton County, Michigan!!Estimate","Eaton County, Michigan!!Margin of Error","Eaton County, Michigan!!Percent","Eaton County, Michigan!!Percent Margin of Error","Genesee County, Michigan!!Estimate","Genesee County, Michigan!!Margin of Error","Genesee County, Michigan!!Percent","Genesee County, Michigan!!Percent Margin of Error","Grand Traverse County, Michigan!!Estimate","Grand Traverse County, Michigan!!Margin of Error","Grand Traverse County, Michigan!!Percent","Grand Traverse County, Michigan!!Percent Margin of Error","Ingham County, Michigan!!Estimate","Ingham County, Michigan!!Margin of Error","Ingham County, Michigan!!Percent","Ingham County, Michigan!!Percent Margin of Error","Isabella County, Michigan!!Estimate","Isabella County, Michigan!!Margin of Error","Isabella County, Michigan!!Percent","Isabella County, Michigan!!Percent Margin of Error","Jackson County, Michigan!!Estimate","Jackson County, Michigan!!Margin of Error","Jackson County, Michigan!!Percent","Jackson County, Michigan!!Percent Margin of Error","Kalamazoo County, Michigan!!Estimate","Kalamazoo County, Michigan!!Margin of Error","Kalamazoo County, Michigan!!Percent","Kalamazoo County, Michigan!!Percent Margin of Error","Kent County, Michigan!!Estimate","Kent County, Michigan!!Margin of Error","Kent County, Michigan!!Percent","Kent County, Michigan!!Percent Margin of Error","Lapeer County, Michigan!!Estimate","Lapeer County, Michigan!!Margin of Error","Lapeer County, Michigan!!Percent","Lapeer County, Michigan!!Percent Margin of Error","Lenawee County, Michigan!!Estimate","Lenawee County, Michigan!!Margin of Error","Lenawee County, Michigan!!Percent","Lenawee County, Michigan!!Percent Margin of Error","Livingston County, Michigan!!Estimate","Livingston County, Michigan!!Margin of Error","Livingston County, Michigan!!Percent","Livingston County, Michigan!!Percent Margin of Error","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Macomb County, Michigan!!Percent","Macomb County, Michigan!!Percent Margin of Error","Marquette County, Michigan!!Estimate","Marquette County, Michigan!!Margin of Error","Marquette County, Michigan!!Percent","Marquette County, Michigan!!Percent Margin of Error","Midland County, Michigan!!Estimate","Midland County, Michigan!!Margin of Error","Midland County, Michigan!!Percent","Midland County, Michigan!!Percent Margin of Error","Monroe County, Michigan!!Estimate","Monroe County, Michigan!!Margin of Error","Monroe County, Michigan!!Percent","Monroe County, Michigan!!Percent Margin of Error","Muskegon County, Michigan!!Estimate","Muskegon County, Michigan!!Margin of Error","Muskegon County, Michigan!!Percent","Muskegon County, Michigan!!Percent Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Oakland County, Michigan!!Percent","Oakland County, Michigan!!Percent Margin of Error","Ottawa County, Michigan!!Estimate","Ottawa County, Michigan!!Margin of Error","Ottawa County, Michigan!!Percent","Ottawa County, Michigan!!Percent Margin of Error","Saginaw County, Michigan!!Estimate","Saginaw County, Michigan!!Margin of Error","Saginaw County, Michigan!!Percent","Saginaw County, Michigan!!Percent Margin of Error","St. Clair County, Michigan!!Estimate","St. Clair County, Michigan!!Margin of Error","St. Clair County, Michigan!!Percent","St. Clair County, Michigan!!Percent Margin of Error","Shiawassee County, Michigan!!Estimate","Shiawassee County, Michigan!!Margin of Error","Shiawassee County, Michigan!!Percent","Shiawassee County, Michigan!!Percent Margin of Error","Van Buren County, Michigan!!Estimate","Van Buren County, Michigan!!Margin of Error","Van Buren County, Michigan!!Percent","Van Buren County, Michigan!!Percent Margin of Error","Washtenaw County, Michigan!!Estimate","Washtenaw County, Michigan!!Margin of Error","Washtenaw County, Michigan!!Percent","Washtenaw County, Michigan!!Percent Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wayne County, Michigan!!Percent","Wayne County, Michigan!!Percent Margin of Error"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","43,667","±1,438","43,667","(X)","44,887","±1,117","44,887","(X)","61,809","±2,093","61,809","(X)","53,827","±1,840","53,827","(X)","30,070","±692","30,070","(X)","44,420","±1,034","44,420","(X)","169,247","±2,251","169,247","(X)","37,408","±1,903","37,408","(X)","114,534","±1,819","114,534","(X)","24,690","±969","24,690","(X)","61,403","±1,713","61,403","(X)","103,196","±2,059","103,196","(X)","245,437","±2,516","245,437","(X)","33,902","±1,026","33,902","(X)","38,499","±1,322","38,499","(X)","73,502","±1,213","73,502","(X)","351,666","±2,850","351,666","(X)","27,981","±1,092","27,981","(X)","34,350","±934","34,350","(X)","60,875","±1,293","60,875","(X)","66,148","±1,782","66,148","(X)","508,464","±3,628","508,464","(X)","105,004","±1,614","105,004","(X)","79,050","±2,036","79,050","(X)","63,806","±1,836","63,806","(X)","26,830","±976","26,830","(X)","30,974","±1,335","30,974","(X)","141,680","±2,021","141,680","(X)","689,270","±6,025","689,270","(X)"
"        Utility gas","27,500","±1,605","63.0%","±2.9","34,743","±1,631","77.4%","±2.8","42,342","±2,070","68.5%","±2.7","40,954","±1,904","76.1%","±2.5","19,130","±1,055","63.6%","±3.2","28,195","±1,525","63.5%","±3.3","137,434","±3,109","81.2%","±1.5","26,417","±1,909","70.6%","±3.4","86,214","±2,567","75.3%","±2.0","13,276","±1,034","53.8%","±3.7","45,565","±1,875","74.2%","±2.6","76,838","±2,765","74.5%","±2.2","209,330","±3,228","85.3%","±1.1","21,995","±1,113","64.9%","±2.9","27,694","±1,341","71.9%","±2.7","56,506","±1,754","76.9%","±2.0","318,894","±4,200","90.7%","±0.9","18,285","±1,360","65.3%","±4.1","25,038","±1,010","72.9%","±2.7","49,307","±1,707","81.0%","±2.1","52,646","±1,950","79.6%","±2.2","425,512","±5,438","83.7%","±0.8","88,157","±1,866","84.0%","±1.6","61,249","±2,237","77.5%","±2.1","48,813","±1,933","76.5%","±1.8","16,441","±1,030","61.3%","±3.3","15,183","±1,215","49.0%","±3.5","109,858","±2,500","77.5%","±1.4","612,277","±7,520","88.8%","±0.6"
"        Bottled, tank, or LP gas","6,900","±888","15.8%","±2.0","4,235","±818","9.4%","±1.8","4,083","±629","6.6%","±1.0","4,170","±650","7.7%","±1.2","5,524","±665","18.4%","±2.1","5,237","±885","11.8%","±2.0","6,762","±1,075","4.0%","±0.6","3,793","±869","10.1%","±2.3","6,621","±1,100","5.8%","±1.0","5,393","±753","21.8%","±2.9","6,918","±998","11.3%","±1.6","6,226","±1,000","6.0%","±1.0","10,005","±1,541","4.1%","±0.6","6,864","±919","20.2%","±2.5","5,530","±680","14.4%","±1.8","6,985","±1,003","9.5%","±1.3","5,571","±1,192","1.6%","±0.3","4,104","±671","14.7%","±2.5","4,577","±624","13.3%","±1.8","4,360","±707","7.2%","±1.2","5,809","±915","8.8%","±1.4","8,013","±1,217","1.6%","±0.2","3,935","±601","3.7%","±0.6","6,446","±1,000","8.2%","±1.3","7,095","±724","11.1%","±1.1","4,995","±795","18.6%","±2.8","8,627","±1,145","27.9%","±3.6","4,816","±845","3.4%","±0.6","6,271","±1,066","0.9%","±0.2"
"        Electricity","2,431","±661","5.6%","±1.5","4,181","±1,008","9.3%","±2.2","10,958","±1,574","17.7%","±2.3","4,387","±931","8.2%","±1.7","2,159","±580","7.2%","±1.9","6,497","±1,281","14.6%","±2.8","21,372","±2,566","12.6%","±1.5","4,933","±911","13.2%","±2.4","17,256","±2,167","15.1%","±1.8","3,556","±754","14.4%","±2.9","5,686","±1,289","9.3%","±2.1","15,857","±2,099","15.4%","±2.0","20,200","±2,486","8.2%","±1.0","2,567","±516","7.6%","±1.5","3,008","±778","7.8%","±1.9","6,864","±1,131","9.3%","±1.5","24,730","±2,807","7.0%","±0.8","3,530","±1,095","12.6%","±3.8","2,402","±616","7.0%","±1.7","5,406","±947","8.9%","±1.5","4,350","±899","6.6%","±1.3","67,626","±4,103","13.3%","±0.8","8,906","±1,515","8.5%","±1.4","6,909","±1,091","8.7%","±1.3","4,896","±838","7.7%","±1.3","2,793","±684","10.4%","±2.4","3,766","±899","12.2%","±2.7","24,384","±2,120","17.2%","±1.5","61,753","±3,964","9.0%","±0.6"
"        Fuel oil, kerosene, etc.","1,132","±357","2.6%","±0.8","253","±148","0.6%","±0.3","2,245","±719","3.6%","±1.2","528","±185","1.0%","±0.3","1,019","±347","3.4%","±1.2","1,839","±597","4.1%","±1.3","610","±331","0.4%","±0.2","419","±290","1.1%","±0.8","1,191","±391","1.0%","±0.3","284","±134","1.2%","±0.5","594","±225","1.0%","±0.4","1,584","±601","1.5%","±0.6","921","±442","0.4%","±0.2","436","±246","1.3%","±0.7","656","±386","1.7%","±1.0","828","±410","1.1%","±0.6","256","±183","0.1%","±0.1","722","±293","2.6%","±1.0","340","±195","1.0%","±0.6","290","±186","0.5%","±0.3","491","±251","0.7%","±0.4","815","±392","0.2%","±0.1","1,519","±756","1.4%","±0.7","998","±341","1.3%","±0.4","361","±216","0.6%","±0.3","1,005","±274","3.7%","±1.0","1,273","±416","4.1%","±1.3","969","±348","0.7%","±0.2","777","±415","0.1%","±0.1"
"        Coal or coke","0","±175","0.0%","±0.3","0","±175","0.0%","±0.3","0","±175","0.0%","±0.2","0","±175","0.0%","±0.2","52","±88","0.2%","±0.3","0","±175","0.0%","±0.3","0","±175","0.0%","±0.1","0","±175","0.0%","±0.3","167","±184","0.1%","±0.2","22","±38","0.1%","±0.2","0","±175","0.0%","±0.2","0","±175","0.0%","±0.1","0","±175","0.0%","±0.1","0","±175","0.0%","±0.4","0","±175","0.0%","±0.3","0","±175","0.0%","±0.2","62","±76","0.0%","±0.1","0","±175","0.0%","±0.5","0","±175","0.0%","±0.4","0","±175","0.0%","±0.2","0","±175","0.0%","±0.2","0","±175","0.0%","±0.1","0","±175","0.0%","±0.1","0","±175","0.0%","±0.2","26","±44","0.0%","±0.1","49","±85","0.2%","±0.3","0","±175","0.0%","±0.4","0","±175","0.0%","±0.1","27","±45","0.0%","±0.1"
"        Wood","2,041","±676","4.7%","±1.5","1,349","±466","3.0%","±1.0","1,226","±381","2.0%","±0.6","2,242","±708","4.2%","±1.3","1,510","±414","5.0%","±1.4","1,864","±480","4.2%","±1.1","1,444","±589","0.9%","±0.3","1,319","±436","3.5%","±1.2","1,433","±615","1.3%","±0.5","1,718","±373","7.0%","±1.5","2,024","±711","3.3%","±1.1","1,424","±543","1.4%","±0.5","2,376","±684","1.0%","±0.3","1,562","±568","4.6%","±1.7","1,086","±515","2.8%","±1.3","1,616","±472","2.2%","±0.6","753","±298","0.2%","±0.1","1,009","±285","3.6%","±1.0","1,777","±480","5.2%","±1.3","528","±363","0.9%","±0.6","1,852","±494","2.8%","±0.7","1,488","±611","0.3%","±0.1","1,721","±636","1.6%","±0.6","1,847","±512","2.3%","±0.6","1,543","±425","2.4%","±0.7","931","±299","3.5%","±1.1","1,620","±465","5.2%","±1.5","622","±436","0.4%","±0.3","1,378","±521","0.2%","±0.1"
"        Solar energy","0","±175","0.0%","±0.3","0","±175","0.0%","±0.3","44","±72","0.1%","±0.1","83","±100","0.2%","±0.2","44","±74","0.1%","±0.2","0","±175","0.0%","±0.3","50","±82","0.0%","±0.1","18","±30","0.0%","±0.1","0","±175","0.0%","±0.1","0","±175","0.0%","±0.5","0","±175","0.0%","±0.2","0","±175","0.0%","±0.1","75","±128","0.0%","±0.1","0","±175","0.0%","±0.4","10","±17","0.0%","±0.1","0","±175","0.0%","±0.2","0","±175","0.0%","±0.1","13","±24","0.0%","±0.1","0","±175","0.0%","±0.4","0","±175","0.0%","±0.2","0","±175","0.0%","±0.2","0","±175","0.0%","±0.1","0","±175","0.0%","±0.1","0","±175","0.0%","±0.2","28","±45","0.0%","±0.1","0","±175","0.0%","±0.5","0","±175","0.0%","±0.4","13","±21","0.0%","±0.1","263","±283","0.0%","±0.1"
"        Other fuel","3,472","±938","8.0%","±2.2","62","±58","0.1%","±0.1","785","±400","1.3%","±0.6","1,205","±511","2.2%","±0.9","446","±324","1.5%","±1.1","352","±173","0.8%","±0.4","810","±356","0.5%","±0.2","370","±279","1.0%","±0.7","684","±364","0.6%","±0.3","263","±173","1.1%","±0.7","374","±259","0.6%","±0.4","522","±368","0.5%","±0.4","1,590","±599","0.6%","±0.2","299","±220","0.9%","±0.6","434","±313","1.1%","±0.8","389","±220","0.5%","±0.3","757","±501","0.2%","±0.1","279","±269","1.0%","±1.0","129","±95","0.4%","±0.3","621","±350","1.0%","±0.6","654","±470","1.0%","±0.7","2,757","±954","0.5%","±0.2","300","±228","0.3%","±0.2","963","±730","1.2%","±0.9","679","±333","1.1%","±0.5","491","±284","1.8%","±1.1","384","±257","1.2%","±0.8","594","±317","0.4%","±0.2","3,800","±938","0.6%","±0.1"
"        No fuel used","191","±150","0.4%","±0.3","64","±79","0.1%","±0.2","126","±98","0.2%","±0.2","258","±215","0.5%","±0.4","186","±106","0.6%","±0.4","436","±310","1.0%","±0.7","765","±325","0.5%","±0.2","139","±129","0.4%","±0.3","968","±446","0.8%","±0.4","178","±184","0.7%","±0.7","242","±184","0.4%","±0.3","745","±425","0.7%","±0.4","940","±412","0.4%","±0.2","179","±167","0.5%","±0.5","81","±74","0.2%","±0.2","314","±272","0.4%","±0.4","643","±312","0.2%","±0.1","39","±65","0.1%","±0.2","87","±106","0.3%","±0.3","363","±240","0.6%","±0.4","346","±211","0.5%","±0.3","2,253","±760","0.4%","±0.1","466","±271","0.4%","±0.3","638","±387","0.8%","±0.5","365","±188","0.6%","±0.3","125","±110","0.5%","±0.4","121","±142","0.4%","±0.5","424","±287","0.3%","±0.2","2,724","±653","0.4%","±0.1"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","43,667","±1,438","43,667","(X)","44,887","±1,117","44,887","(X)","61,809","±2,093","61,809","(X)","53,827","±1,840","53,827","(X)","30,070","±692","30,070","(X)","44,420","±1,034","44,420","(X)","169,247","±2,251","169,247","(X)","37,408","±1,903","37,408","(X)","114,534","±1,819","114,534","(X)","24,690","±969","24,690","(X)","61,403","±1,713","61,403","(X)","103,196","±2,059","103,196","(X)","245,437","±2,516","245,437","(X)","33,902","±1,026","33,902","(X)","38,499","±1,322","38,499","(X)","73,502","±1,213","73,502","(X)","351,666","±2,850","351,666","(X)","27,981","±1,092","27,981","(X)","34,350","±934","34,350","(X)","60,875","±1,293","60,875","(X)","66,148","±1,782","66,148","(X)","508,464","±3,628","508,464","(X)","105,004","±1,614","105,004","(X)","79,050","±2,036","79,050","(X)","63,806","±1,836","63,806","(X)","26,830","±976","26,830","(X)","30,974","±1,335","30,974","(X)","141,680","±2,021","141,680","(X)","689,270","±6,025","689,270","(X)"
"        Lacking complete plumbing facilities","0","±175","0.0%","±0.3","0","±175","0.0%","±0.3","270","±247","0.4%","±0.4","65","±80","0.1%","±0.1","213","±204","0.7%","±0.7","42","±68","0.1%","±0.2","977","±586","0.6%","±0.3","165","±199","0.4%","±0.5","98","±95","0.1%","±0.1","249","±170","1.0%","±0.7","112","±102","0.2%","±0.2","504","±493","0.5%","±0.5","1,222","±780","0.5%","±0.3","149","±180","0.4%","±0.5","0","±175","0.0%","±0.3","310","±239","0.4%","±0.3","400","±237","0.1%","±0.1","69","±51","0.2%","±0.2","0","±175","0.0%","±0.4","0","±175","0.0%","±0.2","194","±220","0.3%","±0.3","433","±254","0.1%","±0.1","0","±175","0.0%","±0.1","286","±216","0.4%","±0.3","237","±267","0.4%","±0.4","62","±102","0.2%","±0.4","211","±201","0.7%","±0.6","510","±301","0.4%","±0.2","2,949","±887","0.4%","±0.1"
"        Lacking complete kitchen facilities","0","±175","0.0%","±0.3","296","±392","0.7%","±0.9","315","±199","0.5%","±0.3","118","±122","0.2%","±0.2","180","±195","0.6%","±0.6","424","±389","1.0%","±0.9","1,448","±669","0.9%","±0.4","71","±117","0.2%","±0.3","498","±477","0.4%","±0.4","386","±289","1.6%","±1.2","417","±385","0.7%","±0.6","607","±534","0.6%","±0.5","3,228","±1,061","1.3%","±0.4","198","±164","0.6%","±0.5","0","±175","0.0%","±0.3","490","±306","0.7%","±0.4","1,989","±713","0.6%","±0.2","13","±24","0.0%","±0.1","115","±179","0.3%","±0.5","401","±281","0.7%","±0.5","822","±386","1.2%","±0.6","1,834","±636","0.4%","±0.1","696","±461","0.7%","±0.4","397","±296","0.5%","±0.4","381","±239","0.6%","±0.4","339","±412","1.3%","±1.5","473","±443","1.5%","±1.4","959","±633","0.7%","±0.4","5,343","±1,164","0.8%","±0.2"
"        No telephone service available","465","±421","1.1%","±1.0","234","±173","0.5%","±0.4","409","±297","0.7%","±0.5","247","±212","0.5%","±0.4","245","±207","0.8%","±0.7","100","±110","0.2%","±0.2","1,569","±575","0.9%","±0.3","29","±48","0.1%","±0.1","662","±344","0.6%","±0.3","428","±249","1.7%","±1.0","434","±293","0.7%","±0.5","415","±232","0.4%","±0.2","2,408","±1,076","1.0%","±0.4","285","±190","0.8%","±0.6","210","±178","0.5%","±0.5","250","±154","0.3%","±0.2","2,118","±721","0.6%","±0.2","115","±116","0.4%","±0.4","155","±150","0.5%","±0.4","602","±356","1.0%","±0.6","478","±313","0.7%","±0.5","1,931","±642","0.4%","±0.1","296","±226","0.3%","±0.2","601","±336","0.8%","±0.4","472","±225","0.7%","±0.3","242","±233","0.9%","±0.9","335","±250","1.1%","±0.8","1,084","±443","0.8%","±0.3","5,616","±1,276","0.8%","±0.2"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","43,667","±1,438","43,667","(X)","N","N","N","N","61,809","±2,093","61,809","(X)","53,827","±1,840","53,827","(X)","30,070","±692","30,070","(X)","N","N","N","N","169,247","±2,251","169,247","(X)","37,408","±1,903","37,408","(X)","114,534","±1,819","114,534","(X)","N","N","N","N","N","N","N","N","103,196","±2,059","103,196","(X)","245,437","±2,516","245,437","(X)","33,902","±1,026","33,902","(X)","N","N","N","N","73,502","±1,213","73,502","(X)","351,666","±2,850","351,666","(X)","N","N","N","N","N","N","N","N","N","N","N","N","66,148","±1,782","66,148","(X)","508,464","±3,628","508,464","(X)","105,004","±1,614","105,004","(X)","79,050","±2,036","79,050","(X)","63,806","±1,836","63,806","(X)","N","N","N","N","30,974","±1,335","30,974","(X)","141,680","±2,021","141,680","(X)","689,270","±6,025","689,270","(X)"
"        1.00 or less","41,817","±1,469","95.8%","±1.9","N","N","N","N","60,863","±2,120","98.5%","±0.8","52,973","±1,748","98.4%","±0.8","29,667","±739","98.7%","±0.7","N","N","N","N","166,366","±2,204","98.3%","±0.6","36,839","±1,868","98.5%","±0.7","112,709","±1,807","98.4%","±0.6","N","N","N","N","N","N","N","N","101,664","±2,206","98.5%","±0.9","240,969","±2,715","98.2%","±0.5","33,293","±1,097","98.2%","±1.1","N","N","N","N","72,931","±1,225","99.2%","±0.3","345,938","±2,915","98.4%","±0.4","N","N","N","N","N","N","N","N","N","N","N","N","64,345","±1,921","97.3%","±1.5","503,034","±3,842","98.9%","±0.2","103,029","±1,782","98.1%","±0.8","78,039","±2,132","98.7%","±0.9","62,948","±1,891","98.7%","±0.7","N","N","N","N","30,052","±1,347","97.0%","±1.3","139,962","±2,020","98.8%","±0.4","675,440","±5,877","98.0%","±0.3"
"        1.01 to 1.50","1,544","±764","3.5%","±1.7","N","N","N","N","599","±380","1.0%","±0.6","854","±430","1.6%","±0.8","403","±213","1.3%","±0.7","N","N","N","N","1,959","±761","1.2%","±0.4","402","±246","1.1%","±0.6","1,385","±642","1.2%","±0.6","N","N","N","N","N","N","N","N","1,413","±882","1.4%","±0.9","3,214","±1,018","1.3%","±0.4","498","±365","1.5%","±1.1","N","N","N","N","384","±190","0.5%","±0.3","3,442","±1,033","1.0%","±0.3","N","N","N","N","N","N","N","N","N","N","N","N","1,679","±918","2.5%","±1.4","4,529","±967","0.9%","±0.2","1,710","±777","1.6%","±0.7","721","±557","0.9%","±0.7","598","±350","0.9%","±0.5","N","N","N","N","603","±427","1.9%","±1.4","1,612","±601","1.1%","±0.4","10,682","±1,661","1.5%","±0.2"
"        1.51 or more","306","±369","0.7%","±0.8","N","N","N","N","347","±421","0.6%","±0.7","0","±175","0.0%","±0.2","0","±175","0.0%","±0.4","N","N","N","N","922","±671","0.5%","±0.4","167","±185","0.4%","±0.5","440","±316","0.4%","±0.3","N","N","N","N","N","N","N","N","119","±155","0.1%","±0.2","1,254","±766","0.5%","±0.3","111","±128","0.3%","±0.4","N","N","N","N","187","±159","0.3%","±0.2","2,286","±946","0.7%","±0.3","N","N","N","N","N","N","N","N","N","N","N","N","124","±126","0.2%","±0.2","901","±331","0.2%","±0.1","265","±325","0.3%","±0.3","290","±275","0.4%","±0.3","260","±256","0.4%","±0.4","N","N","N","N","319","±302","1.0%","±1.0","106","±110","0.1%","±0.1","3,148","±917","0.5%","±0.1"
"VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","35,010","±1,569","35,010","(X)","33,331","±1,476","33,331","(X)","45,701","±1,754","45,701","(X)","39,408","±1,623","39,408","(X)","25,143","±829","25,143","(X)","31,335","±1,362","31,335","(X)","118,446","±2,770","118,446","(X)","28,041","±1,665","28,041","(X)","68,782","±2,134","68,782","(X)","15,882","±817","15,882","(X)","45,588","±2,070","45,588","(X)","63,591","±2,344","63,591","(X)","171,100","±3,505","171,100","(X)","28,755","±1,204","28,755","(X)","28,848","±1,419","28,848","(X)","62,508","±1,617","62,508","(X)","260,793","±4,711","260,793","(X)","20,142","±1,017","20,142","(X)","27,890","±1,107","27,890","(X)","47,513","±1,774","47,513","(X)","49,079","±2,198","49,079","(X)","364,316","±5,920","364,316","(X)","79,453","±2,333","79,453","(X)","56,980","±2,126","56,980","(X)","50,568","±1,891","50,568","(X)","20,088","±986","20,088","(X)","23,665","±1,429","23,665","(X)","88,532","±2,629","88,532","(X)","430,920","±6,367","430,920","(X)"
"        Less than $50,000","2,308","±650","6.6%","±1.9","4,003","±849","12.0%","±2.5","4,876","±1,005","10.7%","±2.1","6,252","±943","15.9%","±2.3","1,590","±426","6.3%","±1.7","1,623","±429","5.2%","±1.4","25,576","±2,528","21.6%","±2.0","1,613","±600","5.8%","±2.1","5,892","±1,118","8.6%","±1.6","1,661","±403","10.5%","±2.6","4,620","±865","10.1%","±1.8","3,578","±842","5.6%","±1.3","8,828","±1,457","5.2%","±0.8","2,226","±688","7.7%","±2.4","2,834","±869","9.8%","±2.9","2,495","±506","4.0%","±0.8","15,303","±2,299","5.9%","±0.9","1,935","±594","9.6%","±2.8","1,730","±464","6.2%","±1.7","3,317","±892","7.0%","±1.9","6,879","±1,227","14.0%","±2.4","15,799","±1,895","4.3%","±0.5","5,387","±1,166","6.8%","±1.5","12,058","±1,286","21.2%","±2.1","3,435","±864","6.8%","±1.7","1,479","±533","7.4%","±2.5","2,494","±757","10.5%","±3.0","4,248","±842","4.8%","±0.9","72,797","±4,031","16.9%","±0.8"
"        $50,000 to $99,999","3,676","±954","10.5%","±2.7","10,623","±1,194","31.9%","±3.1","8,453","±1,147","18.5%","±2.5","10,134","±1,205","25.7%","±2.7","2,157","±612","8.6%","±2.4","4,303","±803","13.7%","±2.5","18,971","±1,983","16.0%","±1.6","1,325","±633","4.7%","±2.2","14,147","±1,615","20.6%","±2.3","3,372","±642","21.2%","±3.6","9,533","±1,317","20.9%","±3.0","9,082","±1,459","14.3%","±2.2","11,488","±1,605","6.7%","±0.9","2,067","±513","7.2%","±1.7","6,052","±1,008","21.0%","±3.4","2,129","±597","3.4%","±1.0","26,377","±2,098","10.1%","±0.8","4,382","±832","21.8%","±4.1","5,186","±693","18.6%","±2.3","5,254","±1,160","11.1%","±2.3","9,238","±1,354","18.8%","±2.5","19,835","±2,101","5.4%","±0.6","2,439","±868","3.1%","±1.1","14,330","±1,503","25.1%","±2.3","6,855","±899","13.6%","±1.8","4,913","±806","24.5%","±4.0","4,090","±682","17.3%","±2.8","3,679","±780","4.2%","±0.9","86,845","±4,137","20.2%","±1.0"
"        $100,000 to $149,999","5,984","±995","17.1%","±2.6","8,350","±1,178","25.1%","±3.5","8,318","±1,068","18.2%","±2.3","8,319","±1,092","21.1%","±2.7","3,769","±528","15.0%","±2.0","6,550","±863","20.9%","±2.5","23,534","±2,011","19.9%","±1.6","2,545","±680","9.1%","±2.5","15,257","±1,727","22.2%","±2.4","3,610","±561","22.7%","±3.3","10,012","±1,458","22.0%","±3.0","13,458","±1,624","21.2%","±2.2","24,319","±2,081","14.2%","±1.2","5,387","±893","18.7%","±2.9","6,245","±942","21.6%","±3.1","3,943","±755","6.3%","±1.2","40,777","±2,970","15.6%","±1.0","3,709","±849","18.4%","±3.9","6,741","±964","24.2%","±3.3","9,305","±1,268","19.6%","±2.5","12,657","±1,570","25.8%","±3.1","29,823","±2,419","8.2%","±0.6","8,696","±1,287","10.9%","±1.5","11,896","±1,289","20.9%","±2.2","9,579","±1,075","18.9%","±2.1","4,793","±872","23.9%","±4.1","4,904","±903","20.7%","±3.5","5,648","±973","6.4%","±1.1","78,068","±4,523","18.1%","±1.0"
"        $150,000 to $199,999","6,679","±978","19.1%","±2.4","5,410","±1,004","16.2%","±2.9","7,876","±1,268","17.2%","±2.6","6,358","±1,030","16.1%","±2.5","5,804","±849","23.1%","±3.3","8,156","±1,163","26.0%","±3.4","20,489","±2,049","17.3%","±1.8","4,781","±1,017","17.1%","±3.3","12,180","±1,620","17.7%","±2.3","3,644","±517","22.9%","±3.0","10,531","±1,308","23.1%","±2.5","11,384","±1,376","17.9%","±2.1","40,142","±2,721","23.5%","±1.4","5,626","±920","19.6%","±3.1","6,082","±969","21.1%","±3.1","7,505","±1,037","12.0%","±1.6","59,782","±2,986","22.9%","±1.1","3,691","±566","18.3%","±2.8","5,097","±954","18.3%","±3.2","10,713","±1,393","22.5%","±2.7","9,184","±1,410","18.7%","±2.7","52,889","±3,225","14.5%","±0.8","17,636","±1,817","22.2%","±2.1","7,130","±993","12.5%","±1.6","10,490","±1,060","20.7%","±1.9","3,998","±877","19.9%","±4.3","4,939","±867","20.9%","±3.3","8,856","±1,101","10.0%","±1.1","66,379","±3,015","15.4%","±0.7"
